All Iterations
Op Name,Op Type,No. Calls,TC Eligible,Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns),Data Type,Input Shapes
"AssignVariableOp",AssignVariableOp,41,no,no,555764,13555.2,6923,31185,0,0.0,0,0,555764,13555.2,6923,31185,0,0.0,0,0,,""
"AssignVariableOp_1",AssignVariableOp,41,no,no,475259,11591.7,4847,27859,0,0.0,0,0,475259,11591.7,4847,27859,0,0.0,0,0,,""
"ConstantFolding/training/SGD/gradients/gradients/loss/nvtx_end_4_loss/value_grad/BroadcastGradientArgs-folded-1",Const,492,no,no,1480008,3008.1,1729,61944,0,0.0,0,0,1480008,3008.1,1729,61944,0,0.0,0,0,,""
"ConstantFoldingCtrl/training/cond/cond/Switch_0",Identity,492,no,no,1630887,3314.8,1845,19548,0,0.0,0,0,1630887,3314.8,1845,19548,0,0.0,0,0,bool,""
"ConstantFoldingCtrl/training/cond/cond/Switch_1",Identity,492,no,no,588252,1195.6,692,5196,0,0.0,0,0,588252,1195.6,692,5196,0,0.0,0,0,bool,"training/cond/cond/Switch:1: <0>"
"ConstantFoldingCtrl/training/cond/cond/cond/Switch_0",Identity,492,no,no,621934,1264.1,552,54170,0,0.0,0,0,621934,1264.1,552,54170,0,0.0,0,0,bool,"training/cond/cond/cond/Switch: <0>"
"ConstantFoldingCtrl/training/cond/cond/cond/Switch_1",Identity,492,no,no,607588,1234.9,530,58599,0,0.0,0,0,607588,1234.9,530,58599,0,0.0,0,0,bool,"training/cond/cond/cond/Switch:1: <0>"
"ReadVariableOp",ReadVariableOp,41,no,no,178107,4344.1,2514,21973,0,0.0,0,0,178107,4344.1,2514,21973,0,0.0,0,0,,""
"ReadVariableOp/_64",_Send,42,no,no,2859971,68094.5,4016,145108,68640,1634.3,0,1888,1599814,38090.8,4016,86380,0,0.0,0,0,float32,""
"ReadVariableOp_1",ReadVariableOp,41,no,no,182661,4455.1,2460,39342,0,0.0,0,0,182661,4455.1,2460,39342,0,0.0,0,0,,""
"ReadVariableOp_1/_66",_Send,41,no,no,2839774,69262.8,33508,318565,68800,1678.0,1536,1824,1778485,43377.7,21092,280226,0,0.0,0,0,float32,""
"_SOURCE",NoOp,1066,no,no,36722937,34449.3,3397,1822209,0,0.0,0,0,36722937,34449.3,3397,1822209,0,0.0,0,0,,""
"_arg_Placeholder_0_0",_Arg,41,no,no,1123403,27400.1,4952,269663,0,0.0,0,0,1123403,27400.1,4952,269663,0,0.0,0,0,float32,""
